,latitude,longitude
Nicosia,35.1855659,33.38227639999999
Quinta dos Avidagos,41.3876897,-7.2768652
Rainstorm,40.0898288,-88.2481766
St. Julian,40.0159707,-105.2827672
Sweet Cheeks,42.3439038,-71.1010995
Tandem,36.3581585,-94.2137345
Terre di Giurfo,37.1112907,14.6326996
Trimbach,48.1949046,7.326016000000001
Jean-Baptiste Adam,48.1265682,7.283714199999999
Kirkland Signature,47.6812434,-122.1818941
Leon Beyer,48.0425465,7.306561599999999
Louis M. Martini,38.491074,-122.452179
Masseria Setteporte,38.9097011,-76.99921859999999
Mirassou,25.9432844,-80.296723
Richard Böcking,49.9471772,7.112136
Pradorey,41.7030928,-3.790283799999999
Quiévremont,49.703758,0.7591169999999999
Acrobat,30.243192,-97.7368614
Baglio di Pianetto,37.9881256,13.349254
Bianchi,37.654419,-122.141173
Canicattì,37.3581785,13.8506902
Castello di Amorosa,38.558417,-122.542601
Clarksburg Wine Company,38.422495,-121.5324569
Domaine de la Madone,46.1976339,4.684786799999999
Envolve,27.9942817,-82.54699010000002
Erath,29.9582611,-92.0359562
Estampa,34.2386009,-118.571543
Feudi del Pisciotto,37.11545,14.41194
Feudi di San Marzano,40.4609508,17.496714
Feudo Montoni,38.1484384,13.3360469
Hawkins Cellars,45.275972,-123.013417
Henry Fessy,46.121562,4.6996097
Robert Hall,35.6438088,-120.6335171
Sundance,36.098372,-95.9299489
Tarara,39.2337129,-77.48196
The White Knight,41.242066,-77.03283800000001
Trump,33.729614,-118.349549
Vignerons de Bel Air,46.1156149,4.7100956
Viticultori Associati Canicatti,37.36365,13.7795704
Casa Silva,32.5181058,-116.9887407
Cantine di Dolianova,39.358059,9.1637732
Château de Sours,44.823453,-0.272746
Corvo,39.7023111,-31.1080244
RustRidge,38.52847,-122.3180769
Souverain,38.7613662,-122.9751903
Tres Palacios,28.68779,-96.22166779999999
Mellisoni,47.8352538,-120.0690355
Okapi,40.7582816,-73.9811845
Podere dal Nespoli,44.0377492,11.9947399
Ram,37.09024,-95.712891
Roland Champion,49.025356,4.013213299999999
Sevtap,34.595332,-120.140979
Vignerons des Terres Secrètes,46.3219516,4.753347799999999
Basel Cellars,46.0176661,-118.395933
Cocobon,34.504006,-82.650689
Collet,34.0702435,-84.2931746
Drumheller,51.4651847,-112.7105342
Eco Terreno,38.2820218,-122.4598824
Grifalco,40.968593,15.850882
Hindsight,33.0679623,-96.81522629999999
Mulvane Wine Co.,37.156035,-96.927639
Schmitt Söhne,39.5655614,-104.9237368
Yalumba,-34.5131355,139.0565116
Z'IVO,45.1275681,-123.1187881
Adega Cooperativa do Cartaxo,39.155846,-8.8091575
Aresti,32.470695,-97.560301
Spyro,41.05412279999999,-85.2260374
Lionel Osmin & Cie,43.326285,-0.3067176
Mitolo,40.908247,-74.03856999999999
Napa Cellars,38.4212828,-122.3900237
Palencia,30.0261591,-81.38562569999999
Poggio Alloro,43.487718,11.065163
Fattoria Sardi,43.8763845,10.5035337
Ferrari-Carano,38.7113931,-122.9782966
Folie à Deux,38.4212828,-122.3900237
Franciscan,36.0880938,-95.7851333
Fuchs,39.0615138,-94.7840289
Gård,46.99503199999999,-120.5474561
Heron Hill,42.4496241,-77.2013917
Soquel Vineyards,37.0295161,-121.9338667
Ventosa,42.857164,-76.936131
Lamoreaux Landing,42.57663180000001,-76.8584529
Leyda,-33.61315740000001,-71.4501843
Marchesi Antinori,38.4331661,-122.2897908
Marchesi de' Frescobaldi,40.90553300000001,-74.40275009999999
Martin Ranch,37.0402955,-121.7114005
Ornellaia,38.2258921,-122.263705
Pardon et Fils,46.1476593,4.5980658
Piña,38.4671401,-122.3773182
Podere Ciona,43.476413,11.456984
Poggioventoso,42.9065216,10.9682903
Pull,36.2209525,-95.8770069
R2,27.9674948,-82.751513
Rideau,45.4251613,-75.6912703
Tenuta Forconi,43.696166,10.989761
Dopff & Irion,48.166199,7.304254999999999
Ceretto,32.776382,-117.060575
Matrix,36.0968368,-95.9187287
Mauritson,38.650488,-122.912031
Henry's Drive Vignerons,-34.9824138,138.7335753
Silverado,37.0853688,-94.5361193
Kuentz-Bas,48.0349643,7.280920699999998
Camberley,51.3353899,-0.742856
Delheim,-33.870379,18.885578
Poderi Luigi Einaudi,44.52179049999999,7.946936399999999
Clark-Clauden,38.5025588,-122.4694162
Giacomo Ascheri,44.692088,7.8478
Beaumont,37.6555762,-96.5328244
Banyan,26.194043,-80.17019979999999
Domaine Zind-Humbrecht,48.0838286,7.295687
Terra Valentine,38.5229576,-122.5489639
Testarossa,37.21347799999999,-121.981544
Vincent Vineyards,34.652382,-120.094943
Weingut Liebfrauenstift,49.63829,8.36892
Wrath,36.55482,-121.920321
Yardstick,37.1230605,-94.52945009999999
Herdade Grande,38.1874922,-7.838358700000001
Albatross Ridge,36.5552899,-121.922627
Alta Colina,35.650182,-120.7449239
Marques de Griñon,37.6675865,-77.57112099999999
Big Basin,37.1716284,-122.2227571
Carl Graff,42.049253,-88.0917489
Casa Santa Vitória,37.8911337,-8.0203347
Castello di Gabbiano,43.6282453,11.2604592
Castello Romitorio,43.055452,11.449105
Château Vincens,44.4559157,1.2803746
Chronic Cellars,35.6743698,-120.7302499
Claiborne & Churchill,36.750671,-95.938194
Collin-Bourisset,46.212704,4.774656999999999
Conde de Velázquez,31.4812327,-100.4243572
Cono Sur,40.2340897,-111.7096091
Domaine Berthoumieu,43.611784,-0.123643
Dracaena,38.8973138,-77.06927639999999
Duckhorn,38.5294953,-122.4907266
Dutton-Goldfield,38.4372408,-122.8583184
Fritz Haag,49.9074999,6.9857671
G7,36.150162,-86.794767
Le Cadeau,45.27249,-123.0161911
Stoneleigh,32.7976722,-96.8074216
Tenuta Peter Sölva & Söhne,46.4118365,11.2436388
